Repeat,Model,Contamination,RMSE,MAE,R2
25,OLS,0.1,0.7458619714584306,0.5373555944142032,0.5754683539984209
25,Ridge,0.1,0.7458340861562043,0.5373445152117605,0.5755000970619124
25,LASSO,0.1,0.740247355421862,0.5393565545780786,0.5818357808074137
25,Huber,0.1,0.7595192531803594,0.5195600536495741,0.5597790418636754
26,OLS,0.1,0.750679783845379,0.5358053316400637,0.5699662111361465
26,Ridge,0.1,0.7506432808977371,0.5357918856864293,0.5700080322150127
26,LASSO,0.1,0.7428801337992612,0.536638608025191,0.5788559889642676
26,Huber,0.1,0.7666857233420272,0.5187452633046669,0.5514324091662108
27,OLS,0.1,0.7533912441807981,0.5390585726954756,0.5668540308917616
27,Ridge,0.1,0.753352867006219,0.5390480357624384,0.5668981580175378
27,LASSO,0.1,0.7445209032927713,0.5399066842165812,0.5769936068478447
27,Huber,0.1,0.7597650768003078,0.5193131917697188,0.5594940346789505
28,OLS,0.1,0.7410004749091255,0.5360757787791461,0.5809844766535102
28,Ridge,0.1,0.7409847394242757,0.5360715482621272,0.5810022724380897
28,LASSO,0.1,0.7386691916399907,0.5396900487431557,0.5836168831729641
28,Huber,0.1,0.7578266360835029,0.5189923533778675,0.5617389533391454
29,OLS,0.1,0.7470735776699016,0.5360243517718306,0.5740879834311511
29,Ridge,0.1,0.7470515049790716,0.5360206503361139,0.5741131506587558
29,LASSO,0.1,0.7423544031535129,0.5386788533799668,0.5794518588988953
29,Huber,0.1,0.7621951134764858,0.5196048313987608,0.5566716951319335
0,OLS,0.2,0.7490435622644165,0.5355249732609867,0.5718388171279587
0,Ridge,0.2,0.7489979520034151,0.5355015470871601,0.5718909581507928
0,LASSO,0.2,0.7394546125549258,0.5340581984049773,0.5827309388838486
0,Huber,0.2,0.7603224873478955,0.5204155309950207,0.5588474328503744
1,OLS,0.2,0.7442689808287815,0.5341686714880804,0.5772798225424857
1,Ridge,0.2,0.7442528643093217,0.5341692580667075,0.5772981296448345
1,LASSO,0.2,0.7412111447975227,0.5382769193425028,0.5807461866526863
1,Huber,0.2,0.7582769833656103,0.5197975321514503,0.5612179151321812
2,OLS,0.2,0.7525985349290427,0.536432631348115,0.5677650533670136
2,Ridge,0.2,0.7525819505892289,0.5364405478194254,0.5677841027058592
2,LASSO,0.2,0.748101893461288,0.5417792901535655,0.5729146760336988
